2026-04-15 06:21 | SIGNAL | WLFI/USDT SHORT | grade=? conf=58.1 | entry=0.0800-0.0806 sl=0.0821 tp1=0.0785 tp2=0.0779 | rr=1.33 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.33<2.00)
2026-04-15 06:21 | SIGNAL | WET/USDT LONG | grade=? conf=56.3 | entry=0.1053-0.1091 sl=0.0924 tp1=0.1220 tp2=0.1264 | rr=1.30 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-15 06:21 | SIGNAL | LDO/USDT LONG | grade=? conf=57.9 | entry=0.3423-0.3454 sl=0.3005 tp1=0.3952 tp2=0.5070 | rr=3.76 | strategy=ElliottWave | regime=BULL_TREND | tech=65 vol=41 flow=70 deriv=48 sent=74 corr=50 → REJECTED(AGG_THRESHOLD score=57.9<60)
2026-04-15 06:21 | SIGNAL | HOOD/USDT SHORT | grade=? conf=52.8 | entry=81.9566-82.4717 sl=84.2856 tp1=77.6326 tp2=76.1950 | rr=2.91 | strategy=PriceAction | regime=BULL_TREND | tech=44 vol=51 flow=45 deriv=58 sent=42 corr=60 → REJECTED(AGG_THRESHOLD score=52.8<60)
2026-04-15 06:21 | SIGNAL | FET/USDT SHORT | grade=C conf=60.8 | entry=0.2239-0.2257 sl=0.2313 tp1=0.2119 tp2=0.2099 | rr=2.26 | strategy=PriceAction | regime=BULL_TREND | tech=61 vol=31 flow=49 deriv=90 sent=42 corr=50 → APPROVED
2026-04-15 06:22 | SIGNAL | 1000SHIB/USDT SHORT | grade=? conf=30.7 | entry=0.0060-0.0061 sl=0.0062 tp1=0.0058 tp2=0.0057 | rr=1.59 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.59<2.00)
2026-04-15 06:22 | SIGNAL | PENGU/USDT LONG | grade=? conf=91.0 | entry=0.0067-0.0068 sl=0.0062 tp1=0.0074 tp2=0.0076 | rr=1.72 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.72<2.00)
2026-04-15 06:22 | SIGNAL | CRV/USDT SHORT | grade=? conf=30.0 | entry=0.2214-0.2230 sl=0.2318 tp1=0.2126 tp2=0.2097 | rr=1.30 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-15 06:22 | SIGNAL | MSTR/USDT SHORT | grade=? conf=57.0 | entry=135.5965-137.4524 sl=139.6372 tp1=130.0698 tp2=129.1360 | rr=2.37 | strategy=WyckoffAccDist | regime=BULL_TREND | tech=48 vol=46 flow=41 deriv=58 sent=42 corr=60 → REJECTED(AGG_THRESHOLD score=57.0<60)
2026-04-15 06:22 | SIGNAL | ON/USDT LONG | grade=C conf=66.8 | entry=0.1940-0.2001 sl=0.1367 tp1=0.2653 tp2=0.3636 | rr=2.76 | strategy=PriceAction | regime=BULL_TREND | tech=92 vol=76 flow=45 deriv=25 sent=65 corr=60 → APPROVED
