2026-04-19 15:45:11 | WARNING  | signals.stablecoin_depeg            | stablecoin_depeg.py:183 | 💵 Stablecoin USDT: INIT → HEALTHY | price=1.0010 
2026-04-19 15:49:08 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble DOGE/USDT SUPPRESS: score=-7.2 sup=1 opp=5 adj=+0 | Ensemble SUPPRESS: 5 sources oppose (cvd, whale_flow, onchain, whale_intent, mining_health)
2026-04-19 15:49:12 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: AAVE/USDT ElliottWave R/R=6.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:49:12 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: HIGH/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:49:35 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble SOON/USDT SUPPRESS: score=-4.6 sup=0 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (whale_flow, onchain, whale_intent, mining_health)
2026-04-19 15:49:38 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble PNUT/USDT SUPPRESS: score=-2.2 sup=2 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (basis, onchain, whale_intent, mining_health)
2026-04-19 15:50:00 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: LIGHT/USDT PriceAction R/R=7.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:50:33 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble TIA/USDT SUPPRESS: score=-3.6 sup=1 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (whale_flow, onchain, whale_intent, mining_health)
2026-04-19 15:50:50 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble PENGU/USDT SUPPRESS: score=-4.6 sup=1 opp=5 adj=+0 | Ensemble SUPPRESS: 5 sources oppose (whale_flow, basis, onchain, whale_intent, mining_health)
2026-04-19 15:50:53 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GUA/USDT PriceAction R/R=7.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:50:54 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: MOVR/USDT PriceAction R/R=7.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:51:12 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble NEIRO/USDT SUPPRESS: score=-4.4 sup=0 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (basis, onchain, whale_intent, mining_health)
2026-04-19 15:51:24 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: ARKM/USDT SmartMoneyConcepts R/R=6.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:51:24 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GRIFFAIN/USDT SmartMoneyConcepts R/R=7.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:51:43 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: DEXE/USDT SmartMoneyConcepts R/R=6.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:52:07 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble TRUMP/USDT SUPPRESS: score=-6.0 sup=1 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (cvd, onchain, whale_intent, mining_health)
2026-04-19 15:52:13 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: ALICE/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:52:23 | WARNING  | core.health_monitor                 | health_monitor.py:279 | 📊 OHLCV QUALITY FAIL | GENIUS/USDT/4h: only 22 candles (min 50)
2026-04-19 15:52:33 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: M/USDT SmartMoneyConcepts R/R=6.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:52:35 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble LINK/USDT SUPPRESS: score=-5.4 sup=1 opp=5 adj=+0 | Ensemble SUPPRESS: 5 sources oppose (cvd, whale_flow, onchain, whale_intent, mining_health)
2026-04-19 15:53:22 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: PHB/USDT PriceAction R/R=6.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:53:22 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: BLUR/USDT SmartMoneyConcepts R/R=6.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:53:22 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GWEI/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:53:38 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: PROM/USDT SmartMoneyConcepts R/R=6.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:53:44 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: 币安人生/USDT SmartMoneyConcepts R/R=6.4R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:54:04 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: AAVE/USDT ElliottWave R/R=6.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:54:06 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: HIGH/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:54:58 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: LIGHT/USDT PriceAction R/R=7.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:55:04 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: 我踏马来了/USDT SmartMoneyConcepts R/R=14.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:56:16 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: ARKM/USDT SmartMoneyConcepts R/R=6.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:56:19 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GRIFFAIN/USDT SmartMoneyConcepts R/R=6.9R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:56:44 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: DEXE/USDT SmartMoneyConcepts R/R=6.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:57:16 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: ALICE/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:57:25 | WARNING  | core.health_monitor                 | health_monitor.py:279 | 📊 OHLCV QUALITY FAIL | GENIUS/USDT/4h: only 22 candles (min 50)
2026-04-19 15:57:25 | WARNING  | scanner.scanner                     | scanner.py:366 | 📊 OHLCV cooldown: GENIUS/USDT failed 3× — excluding for 1800s
2026-04-19 15:57:42 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: M/USDT SmartMoneyConcepts R/R=6.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:58:03 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: MOVE/USDT SmartMoneyConcepts R/R=6.9R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:58:34 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: PHB/USDT PriceAction R/R=6.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:58:34 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: BLUR/USDT SmartMoneyConcepts R/R=6.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:58:35 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GWEI/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:58:53 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: PROM/USDT SmartMoneyConcepts R/R=6.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:58:59 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: 币安人生/USDT SmartMoneyConcepts R/R=6.4R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:59:18 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: AAVE/USDT ElliottWave R/R=6.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:59:21 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: HIGH/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:59:54 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble IP/USDT SUPPRESS: score=-3.6 sup=1 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (whale_flow, onchain, whale_intent, mining_health)
2026-04-19 16:00:21 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: LIGHT/USDT PriceAction R/R=7.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
